,center_number,center_name,total_candidates,state,city,high_scorers_623,high_scorers_700,Success rate
945,230614,DAV POLICE PUBLIC SCHOOL,434,HARYANA,HISSAR,56,2,12.903225806451612
958,231002,WISDOM WORLD SCHOOL,467,HARYANA,KURUKSHETRA,34,1,7.28051391862955
959,231003,SMB GITA SR. SEC. SCHOOL,471,HARYANA,KURUKSHETRA,32,0,6.794055201698514
965,231105,RAO PAHLAD SINGH SR SEC SCHOOL,448,HARYANA,MAHENDRAGARH,61,3,13.616071428571427
983,231503,RPS PUBIC SCHOOL,446,HARYANA,REWARI,29,0,6.502242152466367
986,231506,JAIN PUBLIC SCHOOL,308,HARYANA,REWARI,21,0,6.8181818181818175
988,231508,RISHI PUBLIC SCHOOL,237,HARYANA,REWARI,16,1,6.751054852320674
989,231509,"DELHI PUBLIC SCHOOL, REWARI",264,HARYANA,REWARI,46,1,17.424242424242426
1002,231705,AV INTERNATIONAL PUBLIC SCHOOL,283,HARYANA,SIRSA,20,0,7.06713780918728
1003,231706,GEETA SR. SEC. SCHOOL,158,HARYANA,SIRSA,22,1,13.924050632911392
1683,280701,CHAVARA PUBLIC SCHOOL PALA PO KOTTAYAM KERALA,680,KERALA,KOTTAYAM,56,3,8.235294117647058
1684,280702,MARY MOUNT PUBLIC SCHOOL,670,KERALA,KOTTAYAM,54,3,8.059701492537313
1685,280703,ST ANTONY`S PUB SCH KANJIRAPALLY KOTTAYAM DT KL,544,KERALA,KOTTAYAM,38,2,6.985294117647059
1688,280706,SREE KUMARAMANGALAM PUBLIC SCHOOL,467,KERALA,KOTTAYAM,34,2,7.28051391862955
1689,280707,BHAVANS NEWSPRINT VIDYALAYA,461,KERALA,KOTTAYAM,34,1,7.37527114967462
1691,280709,COLLEGE OF ENGINEERING KIDANGOOR,450,KERALA,KOTTAYAM,29,2,6.444444444444445
1693,280711,AKM PUBLIC SCHOOL,455,KERALA,KOTTAYAM,32,2,7.032967032967033
1697,280715,SREE SARASWATHY VIDYAMANDIR,402,KERALA,KOTTAYAM,35,2,8.706467661691542
1701,280719,CLUNY SCHOOL CHANGANACHERRY KOTTAYAM KERALA,385,KERALA,KOTTAYAM,28,1,7.2727272727272725
1702,280720,GOOD SHEPHERD PUBLIC SCHOOL,381,KERALA,KOTTAYAM,30,3,7.874015748031496
1703,280721,BMM ENG MED SCHOOL,380,KERALA,KOTTAYAM,32,1,8.421052631578947
1705,280723,ST.KURIAKOSE PUBLIC SCH KADUTHURUTHY KOTTAYAM KL,335,KERALA,KOTTAYAM,23,1,6.865671641791045
1706,280724,CLUNY PUB SCH CHEPPUMPARA LAKKATTOOR KOTTAYAM KL,344,KERALA,KOTTAYAM,30,0,8.720930232558139
1707,280725,MOUNT CARMEL VIDYANIKETAN,336,KERALA,KOTTAYAM,29,0,8.630952380952381
1710,280728,VIDYANANDA VIDYABHAVAN VAZHOOR KOTTAYAM KERALA,182,KERALA,KOTTAYAM,13,0,7.142857142857142
1712,280730,JR BASELIOS ENG MED SCH PAMPADY (S) KOTTAYAM KL,183,KERALA,KOTTAYAM,22,1,12.021857923497267
1713,280731,CHINMAYA VIDYALAYA,386,KERALA,KOTTAYAM,28,2,7.253886010362693
1721,280808,BHARATIYA VIDYA BHAVAN SCHOOL,582,KERALA,KOZHIKODE/CALICUT,38,2,6.529209621993128
1758,280906,VEDAVYASA INSTITUTE OF TECHNOLOGY,624,KERALA,MALAPPURAM,43,0,6.891025641025641
1778,280926,FATIMAGIRI ENGLISH SCHOOL,352,KERALA,MALAPPURAM,25,0,7.1022727272727275
