,center_name,total_candidates,high_scorers,state_y,city_y,high_scorers_500,high_scorers_700,Success rate
148,AMITY INTERNATIONAL SCHOOL,919,196,MADHYA PRADESH,GWALIOR,12,0,21.327529923830248
149,AMITY INTERNATIONAL SCHOOL,919,196,UTTAR PRADESH,LUCKNOW,28,0,21.327529923830248
150,AMITY INTERNATIONAL SCHOOL,919,227,MADHYA PRADESH,GWALIOR,12,0,24.70076169749728
151,AMITY INTERNATIONAL SCHOOL,919,227,UTTAR PRADESH,LUCKNOW,28,0,24.70076169749728
153,AMITY INTL. SCHOOL M-BLOCK SAKET NEW DELHI,102,67,DELHI,DELHI/NEW DELHI,18,1,65.68627450980392
155,AMRIT PUBLIC SCHOOL,566,286,UTTAR PRADESH,MAU,37,0,50.53003533568905
156,AMRITA VIDYALAYAM,1255,223,GUJARAT,AHMEDABAD,17,0,17.768924302788843
157,AMRITA VIDYALAYAM,1255,223,KARNATAKA,BENGALURU- URBAN,66,0,17.768924302788843
158,AMRITA VIDYALAYAM,1255,223,KARNATAKA,KARWAR,9,0,17.768924302788843
159,AMRITA VIDYALAYAM,1255,363,GUJARAT,AHMEDABAD,17,0,28.92430278884462
160,AMRITA VIDYALAYAM,1255,363,KARNATAKA,BENGALURU- URBAN,66,0,28.92430278884462
161,AMRITA VIDYALAYAM,1255,363,KARNATAKA,KARWAR,9,0,28.92430278884462
162,AMRITA VIDYALAYAM,1255,220,GUJARAT,AHMEDABAD,17,0,17.52988047808765
163,AMRITA VIDYALAYAM,1255,220,KARNATAKA,BENGALURU- URBAN,66,0,17.52988047808765
164,AMRITA VIDYALAYAM,1255,220,KARNATAKA,KARWAR,9,0,17.52988047808765
165,AMRITA VIDYALAYAM AMRITA NAGAR,394,134,TAMIL NADU,NAGAPATTINAM,10,0,34.01015228426396
166,AMRITA VIDYALAYAM KODUNGALUR PO TRICHUR KERALA,343,239,KERALA,THRISSUR,33,0,69.67930029154519
167,ANAND SWAROOP ARYA SARASWATI VIDYA MANDIR,900,521,UTTARAKHAND,ROORKEE,63,0,57.88888888888889
168,ANAND VIHAR SCHOOL,506,231,MADHYA PRADESH,BHOPAL,37,0,45.65217391304348
